               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10633,            0.028777,            0.024103,           0.0021746,             0.50602,            0.034918,           0.0093097,            0.082559,            0.019428,            0.014711,              0.0838,              0.0018,              0.0018
                   1,            0.083214,            0.025133,           0.0090223,            0.029399,             0.49096,            0.023246,           0.0057198,            0.090757,            0.013934,           0.0029858,            0.066648,           0.0036477,           0.0036477
                   2,            0.080559,            0.019626,           0.0037358,             0.21277,             0.34036,             0.15992,            0.048196,            0.069328,            0.013427,           0.0016027,            0.049442,           0.0054416,           0.0054416
                   3,            0.071609,            0.019432,           0.0031808,             0.31304,             0.34036,             0.25317,            0.065202,            0.072381,            0.011647,           0.0018018,            0.032182,           0.0071818,           0.0071818
                   4,            0.069637,            0.017453,           0.0034914,             0.20871,             0.37952,             0.18719,            0.040237,            0.078462,            0.010242,            0.002119,            0.014868,           0.0088682,           0.0088682
                   5,            0.068434,            0.017016,           0.0034839,              0.5131,             0.46084,             0.43371,             0.10927,            0.066912,           0.0098741,           0.0020623,           0.0092929,           0.0092929,           0.0092929
                   6,            0.061387,            0.015349,           0.0033077,             0.44068,             0.51023,             0.39889,             0.11719,            0.062589,           0.0091986,           0.0016844,           0.0092929,           0.0092929,           0.0092929
                   7,            0.055219,            0.015125,           0.0028419,             0.65377,             0.55422,             0.53136,             0.18699,            0.064359,           0.0080828,           0.0013583,           0.0091514,           0.0091514,           0.0091514
                   8,              0.0559,            0.012631,           0.0025029,             0.57748,             0.74699,             0.65545,             0.31949,            0.048413,           0.0075855,           0.0015071,             0.00901,             0.00901,             0.00901
                   9,            0.050593,            0.012171,           0.0022073,             0.66064,             0.68373,             0.74943,             0.35111,            0.049318,           0.0071848,           0.0012382,           0.0088686,           0.0088686,           0.0088686
                  10,            0.050613,            0.011447,           0.0018872,             0.84391,             0.71988,             0.84726,             0.36062,            0.044476,           0.0065845,           0.0011722,           0.0087271,           0.0087271,           0.0087271
                  11,            0.047025,            0.010852,           0.0018057,             0.82574,              0.7741,             0.85617,             0.41107,            0.041452,           0.0061032,           0.0013565,           0.0085857,           0.0085857,           0.0085857
                  12,            0.044576,            0.010178,           0.0017873,             0.73246,             0.76691,             0.79094,             0.36273,            0.042375,           0.0057224,           0.0013351,           0.0084443,           0.0084443,           0.0084443
                  13,            0.043327,           0.0098428,            0.001584,             0.82735,             0.75056,             0.87062,             0.45049,            0.040208,           0.0052808,           0.0012184,           0.0083029,           0.0083029,           0.0083029
                  14,            0.042388,           0.0087495,           0.0014897,             0.87513,             0.86747,              0.9368,             0.48888,            0.037596,            0.005146,           0.0011051,           0.0081614,           0.0081614,           0.0081614
                  15,            0.040818,           0.0092437,           0.0014137,             0.82651,             0.90403,             0.93232,             0.50669,             0.03452,           0.0049964,           0.0011694,             0.00802,             0.00802,             0.00802
                  16,            0.038746,           0.0084416,           0.0013823,             0.86608,             0.83764,             0.94404,             0.54471,            0.035257,           0.0049148,           0.0011382,           0.0078786,           0.0078786,           0.0078786
                  17,            0.038462,           0.0086329,           0.0013105,             0.95019,             0.89458,             0.96718,             0.48953,            0.034048,           0.0048608,            0.001132,           0.0077371,           0.0077371,           0.0077371
                  18,            0.037046,           0.0088268,           0.0012784,             0.85042,             0.94277,             0.93712,             0.53121,            0.032261,           0.0047461,           0.0010922,           0.0075957,           0.0075957,           0.0075957
                  19,            0.037307,           0.0081752,           0.0013321,             0.84191,              0.9488,             0.93653,             0.46398,            0.037307,           0.0047398,           0.0011501,           0.0074543,           0.0074543,           0.0074543
                  20,            0.037826,           0.0080102,           0.0012509,             0.94281,             0.94578,             0.97594,             0.56425,            0.033161,           0.0047454,            0.001072,           0.0073129,           0.0073129,           0.0073129
                  21,            0.036604,            0.007767,           0.0011523,             0.89062,             0.93373,             0.94927,             0.56093,            0.030606,           0.0047127,          0.00099816,           0.0071714,           0.0071714,           0.0071714
                  22,            0.035121,             0.00795,           0.0011229,             0.94138,             0.95181,             0.97121,             0.48077,            0.033116,           0.0046231,          0.00097188,             0.00703,             0.00703,             0.00703
                  23,            0.033596,           0.0081183,           0.0011617,             0.94647,             0.96687,             0.97324,             0.54446,              0.0326,           0.0044858,           0.0010011,           0.0068886,           0.0068886,           0.0068886
                  24,            0.035226,           0.0074824,           0.0010778,              0.9609,              0.9759,             0.98837,             0.60068,            0.030498,           0.0044197,          0.00097098,           0.0067471,           0.0067471,           0.0067471
                  25,            0.033377,           0.0076657,           0.0010293,             0.94431,             0.97033,             0.98557,             0.59368,            0.028192,           0.0043965,          0.00085647,           0.0066057,           0.0066057,           0.0066057
                  26,            0.032656,           0.0074168,          0.00094807,             0.95839,             0.97126,             0.99064,              0.6333,            0.028722,           0.0043395,           0.0008304,           0.0064643,           0.0064643,           0.0064643
                  27,            0.032218,           0.0076306,          0.00090291,             0.96204,             0.96386,             0.99003,             0.57493,            0.028806,           0.0044019,          0.00081466,           0.0063229,           0.0063229,           0.0063229
                  28,            0.030646,             0.00704,          0.00089142,             0.95861,              0.9767,              0.9885,             0.64613,            0.025979,           0.0042933,          0.00084897,           0.0061814,           0.0061814,           0.0061814
                  29,            0.031399,           0.0074266,           0.0009055,             0.97622,             0.98911,             0.99216,             0.65599,            0.025391,           0.0042485,          0.00082617,             0.00604,             0.00604,             0.00604
                  30,            0.030991,           0.0073501,          0.00084598,             0.96893,             0.98795,             0.99194,              0.6272,            0.028345,           0.0042031,          0.00075702,           0.0058986,           0.0058986,           0.0058986
                  31,            0.029755,           0.0070358,          0.00084087,             0.95952,             0.99096,             0.99213,             0.61794,            0.025986,            0.004161,          0.00071479,           0.0057571,           0.0057571,           0.0057571
                  32,            0.029783,           0.0067864,          0.00075921,             0.96754,              0.9877,             0.99253,             0.67281,            0.025109,           0.0041546,          0.00067798,           0.0056157,           0.0056157,           0.0056157
                  33,            0.029018,           0.0071122,          0.00076808,             0.96256,             0.99398,             0.99188,             0.70468,             0.02238,           0.0040526,          0.00068399,           0.0054743,           0.0054743,           0.0054743
                  34,            0.027832,           0.0068031,          0.00081733,              0.9759,             0.99699,             0.99266,             0.67688,            0.023248,           0.0040497,          0.00072238,           0.0053329,           0.0053329,           0.0053329
                  35,            0.026923,           0.0065829,          0.00078315,             0.97916,             0.99042,             0.99107,             0.68992,            0.023082,           0.0040014,          0.00070771,           0.0051914,           0.0051914,           0.0051914
                  36,            0.028332,           0.0066955,           0.0007637,              0.9789,             0.98795,             0.98785,             0.69552,            0.022568,           0.0039421,          0.00067035,             0.00505,             0.00505,             0.00505
                  37,            0.027215,           0.0064128,           0.0007015,             0.97061,             0.99479,             0.98691,             0.71071,             0.02162,           0.0039073,          0.00062887,           0.0049086,           0.0049086,           0.0049086
                  38,            0.026707,           0.0069163,          0.00066948,             0.96735,                   1,             0.99103,             0.68595,             0.02333,           0.0039431,          0.00058073,           0.0047671,           0.0047671,           0.0047671
                  39,            0.027031,           0.0067295,          0.00063765,             0.96772,              0.9934,             0.98828,             0.67121,            0.022151,           0.0038538,          0.00059978,           0.0046257,           0.0046257,           0.0046257
                  40,            0.027165,           0.0066554,          0.00065673,             0.97058,             0.99381,             0.98893,             0.68785,            0.023137,           0.0038902,          0.00061463,           0.0044843,           0.0044843,           0.0044843
                  41,            0.025858,           0.0066802,          0.00066595,             0.96479,             0.99039,             0.98587,             0.71779,            0.020795,           0.0037402,          0.00060798,           0.0043429,           0.0043429,           0.0043429
                  42,            0.023945,           0.0067863,          0.00064363,             0.97921,             0.99318,             0.99181,              0.7223,            0.020801,           0.0036937,          0.00056538,           0.0042014,           0.0042014,           0.0042014
                  43,            0.024163,           0.0062071,          0.00059238,             0.97326,             0.98657,             0.98365,             0.72301,            0.020825,           0.0036779,          0.00054993,             0.00406,             0.00406,             0.00406
                  44,            0.023904,           0.0064048,          0.00057227,             0.97012,             0.98795,             0.98477,             0.70456,            0.021072,           0.0037023,          0.00052618,           0.0039186,           0.0039186,           0.0039186
                  45,            0.023419,           0.0061586,          0.00054568,             0.97626,             0.99699,             0.99128,              0.7259,            0.019905,           0.0036304,          0.00049892,           0.0037771,           0.0037771,           0.0037771
                  46,            0.023711,           0.0060837,           0.0005205,             0.97344,             0.99358,             0.99167,             0.71741,            0.021422,           0.0036592,          0.00048526,           0.0036357,           0.0036357,           0.0036357
                  47,            0.023686,           0.0062283,          0.00049837,             0.97921,             0.99304,             0.99102,             0.74674,            0.018332,           0.0036391,          0.00047543,           0.0034943,           0.0034943,           0.0034943
                  48,            0.022455,           0.0060783,          0.00051744,             0.97922,              0.9937,             0.99069,             0.75794,            0.017884,           0.0035493,          0.00046845,           0.0033529,           0.0033529,           0.0033529
                  49,            0.022321,           0.0056556,          0.00050243,             0.97907,             0.99398,             0.99039,             0.76683,            0.017573,           0.0035233,          0.00045963,           0.0032114,           0.0032114,           0.0032114
                  50,            0.021851,           0.0057607,          0.00046902,             0.98135,             0.99398,             0.98991,             0.76754,            0.017283,           0.0034847,          0.00043616,             0.00307,             0.00307,             0.00307
                  51,            0.021652,           0.0060059,          0.00044679,             0.97852,             0.99699,             0.99065,              0.7679,            0.017749,           0.0034642,          0.00041589,           0.0029286,           0.0029286,           0.0029286
                  52,            0.020842,           0.0057131,          0.00044322,             0.97804,             0.99398,             0.99049,             0.76387,             0.01799,            0.003501,          0.00040672,           0.0027871,           0.0027871,           0.0027871
                  53,            0.021003,           0.0061538,          0.00042815,              0.9755,             0.99096,              0.9884,             0.78311,            0.017592,           0.0034757,          0.00039935,           0.0026457,           0.0026457,           0.0026457
                  54,            0.020005,           0.0056667,          0.00040666,              0.9789,             0.99398,             0.99131,              0.7803,            0.017013,           0.0034444,          0.00037669,           0.0025043,           0.0025043,           0.0025043
                  55,            0.020436,           0.0057701,           0.0003868,             0.98213,             0.99343,             0.99325,             0.76982,            0.016786,           0.0034073,          0.00035873,           0.0023629,           0.0023629,           0.0023629
                  56,            0.019968,           0.0057039,          0.00038154,             0.97927,             0.99609,             0.99264,             0.79043,            0.015897,           0.0033475,          0.00034716,           0.0022214,           0.0022214,           0.0022214
                  57,            0.019172,           0.0054859,          0.00037229,             0.97877,             0.99699,             0.99201,             0.79518,            0.015754,             0.00332,          0.00034087,             0.00208,             0.00208,             0.00208
                  58,             0.02011,            0.006004,          0.00038433,             0.98794,             0.98678,             0.99287,             0.78614,            0.016233,           0.0033082,          0.00033661,           0.0019386,           0.0019386,           0.0019386
                  59,            0.018328,           0.0056958,           0.0003634,             0.97559,             0.99699,              0.9931,             0.80043,            0.015659,           0.0033088,          0.00032298,           0.0017971,           0.0017971,           0.0017971
                  60,            0.018599,           0.0057729,          0.00033844,             0.96993,             0.99096,             0.98733,             0.77345,            0.017036,           0.0033253,          0.00031703,           0.0016557,           0.0016557,           0.0016557
                  61,            0.018702,           0.0059236,          0.00033385,             0.97674,             0.99398,             0.99316,             0.80735,            0.014784,           0.0032307,          0.00030747,           0.0015143,           0.0015143,           0.0015143
                  62,            0.018164,           0.0058744,           0.0003304,             0.99094,             0.98795,             0.99289,             0.80737,            0.014785,           0.0032189,          0.00029696,           0.0013729,           0.0013729,           0.0013729
                  63,            0.017935,           0.0055618,          0.00032336,              0.9905,             0.98494,             0.99271,             0.81153,             0.01474,           0.0032046,          0.00028458,           0.0012314,           0.0012314,           0.0012314
                  64,            0.017537,           0.0053729,          0.00029872,             0.98927,             0.98494,              0.9929,             0.80981,            0.014387,           0.0031846,          0.00027225,             0.00109,             0.00109,             0.00109
                  65,             0.01715,           0.0052011,          0.00028366,             0.98214,             0.99384,             0.99304,             0.80875,            0.014177,           0.0031884,          0.00026441,          0.00094857,          0.00094857,          0.00094857
                  66,            0.017513,            0.005793,          0.00026938,             0.98113,             0.98795,             0.98936,             0.81213,               0.014,           0.0031602,          0.00025618,          0.00080714,          0.00080714,          0.00080714
                  67,            0.016571,           0.0052641,          0.00027527,             0.98506,             0.99315,              0.9935,             0.82461,            0.013611,           0.0031264,          0.00025056,          0.00066571,          0.00066571,          0.00066571
                  68,            0.016604,           0.0055541,          0.00026664,             0.98512,             0.99684,              0.9936,             0.82273,            0.013564,             0.00312,          0.00024763,          0.00052429,          0.00052429,          0.00052429
                  69,            0.015813,           0.0051759,          0.00026072,              0.9847,             0.99699,             0.99375,             0.82038,            0.013352,           0.0031116,          0.00024284,          0.00038286,          0.00038286,          0.00038286
